Country destination,Country destination_label,Country source,Country source_label,Sum_of_deals,year
Digital security,Digital security,CAN,Canada,72.873245,2023
Financial and insurance services,Financial and insurance services,CAN,Canada,330.68671066666667,2023
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,CAN,Canada,146.77502866666666,2023
IT infrastructure and hosting,IT infrastructure and hosting,CAN,Canada,637.0576108333332,2023
Logistics, wholesale and retail,Logistics, wholesale and retail,CAN,Canada,94.725,2023
Media, social platforms and marketing,Media, social platforms and marketing,CAN,Canada,51.06161416666666,2023
Mobility and autonomous vehicles,Mobility and autonomous vehicles,CAN,Canada,154.407532,2023
Other,Other,CAN,Canada,466.68004821666665,2023
Robots, sensors and IT hardware,Robots, sensors and IT hardware,CAN,Canada,173.3396865,2023
Business processes and support services,Business processes and support services,CAN,Canada,225.81990067412585,2024
Digital security,Digital security,CAN,Canada,369.6995529166667,2024
Financial and insurance services,Financial and insurance services,CAN,Canada,143.8882367179487,2024
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,CAN,Canada,238.04070938333334,2024
IT infrastructure and hosting,IT infrastructure and hosting,CAN,Canada,2359.3743891690474,2024
Logistics, wholesale and retail,Logistics, wholesale and retail,CAN,Canada,73.47308433333333,2024
Media, social platforms and marketing,Media, social platforms and marketing,CAN,Canada,241.967628,2024
Mobility and autonomous vehicles,Mobility and autonomous vehicles,CAN,Canada,117.01948675,2024
Other,Other,CAN,Canada,345.91647725,2024
Robots, sensors and IT hardware,Robots, sensors and IT hardware,CAN,Canada,196.81016916666667,2024
Business processes and support services,Business processes and support services,CAN,Canada,306.22085649999997,2025
Digital security,Digital security,CAN,Canada,230.29999999999998,2025
Financial and insurance services,Financial and insurance services,CAN,Canada,105.75573673809524,2025
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,CAN,Canada,368.27963883333337,2025
IT infrastructure and hosting,IT infrastructure and hosting,CAN,Canada,3416.877010416667,2025
Logistics, wholesale and retail,Logistics, wholesale and retail,CAN,Canada,83.48232866666666,2025
Media, social platforms and marketing,Media, social platforms and marketing,CAN,Canada,168.3575830833333,2025
Mobility and autonomous vehicles,Mobility and autonomous vehicles,CAN,Canada,26.984862,2025
Other,Other,CAN,Canada,318.94915325,2025
Robots, sensors and IT hardware,Robots, sensors and IT hardware,CAN,Canada,403.91922708333334,2025
IT infrastructure and hosting,IT infrastructure and hosting,CYM,Cayman Islands,27.5,2013
Media, social platforms and marketing,Media, social platforms and marketing,CYM,Cayman Islands,5,2013
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,CYM,Cayman Islands,0.15000000000000002,2014
Logistics, wholesale and retail,Logistics, wholesale and retail,CYM,Cayman Islands,622.5,2015
Media, social platforms and marketing,Media, social platforms and marketing,CYM,Cayman Islands,120,2015
Mobility and autonomous vehicles,Mobility and autonomous vehicles,CYM,Cayman Islands,0,2015
Logistics, wholesale and retail,Logistics, wholesale and retail,CYM,Cayman Islands,375,2016
Other,Other,CYM,Cayman Islands,3.4499999999999997,2016
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,CYM,Cayman Islands,91.3474755,2017
IT infrastructure and hosting,IT infrastructure and hosting,CYM,Cayman Islands,7.800000000000001,2017
Logistics, wholesale and retail,Logistics, wholesale and retail,CYM,Cayman Islands,125,2017
IT infrastructure and hosting,IT infrastructure and hosting,CYM,Cayman Islands,0,2018
Financial and insurance services,Financial and insurance services,CYM,Cayman Islands,633.807144,2018
Logistics, wholesale and retail,Logistics, wholesale and retail,CYM,Cayman Islands,375,2018
Media, social platforms and marketing,Media, social platforms and marketing,CYM,Cayman Islands,4.5,2018
Other,Other,CYM,Cayman Islands,33.6,2018
Business processes and support services,Business processes and support services,CYM,Cayman Islands,27.730366,2019
Financial and insurance services,Financial and insurance services,CYM,Cayman Islands,160,2019
IT infrastructure and hosting,IT infrastructure and hosting,CYM,Cayman Islands,150,2019
Logistics, wholesale and retail,Logistics, wholesale and retail,CYM,Cayman Islands,750,2019
Other,Other,CYM,Cayman Islands,47.643452999999994,2019
Financial and insurance services,Financial and insurance services,CYM,Cayman Islands,253.524015,2020
IT infrastructure and hosting,IT infrastructure and hosting,CYM,Cayman Islands,9.3,2020
Other,Other,CYM,Cayman Islands,15.260793000000001,2020
Other,Other,CYM,Cayman Islands,143.7650225,2021
Media, social platforms and marketing,Media, social platforms and marketing,CYM,Cayman Islands,5.552499999999999,2021
Logistics, wholesale and retail,Logistics, wholesale and retail,CYM,Cayman Islands,374.06395,2021
IT infrastructure and hosting,IT infrastructure and hosting,CYM,Cayman Islands,11.2,2021
Financial and insurance services,Financial and insurance services,CYM,Cayman Islands,1127.567195857143,2021
Business processes and support services,Business processes and support services,CYM,Cayman Islands,469.28064225,2021
Media, social platforms and marketing,Media, social platforms and marketing,CYM,Cayman Islands,28.673066666666664,2022
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,CYM,Cayman Islands,32.39,2022
Financial and insurance services,Financial and insurance services,CYM,Cayman Islands,128.45679332142856,2022
Digital security,Digital security,CYM,Cayman Islands,11.35784083333333,2022
Business processes and support services,Business processes and support services,CYM,Cayman Islands,2.2,2022
Other,Other,CYM,Cayman Islands,35.764994,2022
Robots, sensors and IT hardware,Robots, sensors and IT hardware,CYM,Cayman Islands,3.75,2023
Digital security,Digital security,CYM,Cayman Islands,1.0499999999999998,2023
Financial and insurance services,Financial and insurance services,CYM,Cayman Islands,12.249994,2023
IT infrastructure and hosting,IT infrastructure and hosting,CYM,Cayman Islands,58,2023
Media, social platforms and marketing,Media, social platforms and marketing,CYM,Cayman Islands,8.11111111111111,2023
Other,Other,CYM,Cayman Islands,16.199742,2023
Business processes and support services,Business processes and support services,CYM,Cayman Islands,6.2250000000000005,2023
Business processes and support services,Business processes and support services,CYM,Cayman Islands,471.9702830454545,2024
Digital security,Digital security,CYM,Cayman Islands,9.03633485,2024
Financial and insurance services,Financial and insurance services,CYM,Cayman Islands,28.11352813852814,2024
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,CYM,Cayman Islands,4.533333333333333,2024
IT infrastructure and hosting,IT infrastructure and hosting,CYM,Cayman Islands,5502.187004285714,2024
Logistics, wholesale and retail,Logistics, wholesale and retail,CYM,Cayman Islands,9.12268,2024
Media, social platforms and marketing,Media, social platforms and marketing,CYM,Cayman Islands,280.58373015873013,2024
Other,Other,CYM,Cayman Islands,24.293533166666663,2024
Robots, sensors and IT hardware,Robots, sensors and IT hardware,CYM,Cayman Islands,12.292224000000001,2024
Business processes and support services,Business processes and support services,CYM,Cayman Islands,284.871685,2025
Digital security,Digital security,CYM,Cayman Islands,9.75,2025
Financial and insurance services,Financial and insurance services,CYM,Cayman Islands,40.42494933333333,2025
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,CYM,Cayman Islands,188.5,2025
IT infrastructure and hosting,IT infrastructure and hosting,CYM,Cayman Islands,11762.4644776,2025
Media, social platforms and marketing,Media, social platforms and marketing,CYM,Cayman Islands,228.29999999999998,2025
Mobility and autonomous vehicles,Mobility and autonomous vehicles,CYM,Cayman Islands,1.6666666666666665,2025
Robots, sensors and IT hardware,Robots, sensors and IT hardware,CYM,Cayman Islands,4.285714285714285,2025
Business processes and support services,Business processes and support services,SAU,Saudi Arabia,8.8057965,2013
Other,Other,SAU,Saudi Arabia,150,2013
IT infrastructure and hosting,IT infrastructure and hosting,SAU,Saudi Arabia,11.805,2014
Logistics, wholesale and retail,Logistics, wholesale and retail,SAU,Saudi Arabia,2.75,2015
Mobility and autonomous vehicles,Mobility and autonomous vehicles,SAU,Saudi Arabia,750,2015
Business processes and support services,Business processes and support services,SAU,Saudi Arabia,0.21,2016
Financial and insurance services,Financial and insurance services,SAU,Saudi Arabia,59.651759999999996,2016
IT infrastructure and hosting,IT infrastructure and hosting,SAU,Saudi Arabia,30,2016
Mobility and autonomous vehicles,Mobility and autonomous vehicles,SAU,Saudi Arabia,5250,2016
Other,Other,SAU,Saudi Arabia,26,2016
Financial and insurance services,Financial and insurance services,SAU,Saudi Arabia,3.333333333333333,2017
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,SAU,Saudi Arabia,5.22,2017
Logistics, wholesale and retail,Logistics, wholesale and retail,SAU,Saudi Arabia,10.6,2017
Other,Other,SAU,Saudi Arabia,51.9369255,2017
Media, social platforms and marketing,Media, social platforms and marketing,SAU,Saudi Arabia,10.5,2018
IT infrastructure and hosting,IT infrastructure and hosting,SAU,Saudi Arabia,40,2018
Logistics, wholesale and retail,Logistics, wholesale and retail,SAU,Saudi Arabia,0.54,2018
Financial and insurance services,Financial and insurance services,SAU,Saudi Arabia,0.325,2018
Business processes and support services,Business processes and support services,SAU,Saudi Arabia,42.345,2019
Digital security,Digital security,SAU,Saudi Arabia,10.425,2019
Financial and insurance services,Financial and insurance services,SAU,Saudi Arabia,8.491666666666667,2019
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,SAU,Saudi Arabia,433.55553900000007,2019
IT infrastructure and hosting,IT infrastructure and hosting,SAU,Saudi Arabia,2.456,2019
Logistics, wholesale and retail,Logistics, wholesale and retail,SAU,Saudi Arabia,7.55,2019
Media, social platforms and marketing,Media, social platforms and marketing,SAU,Saudi Arabia,1.066462,2019
Other,Other,SAU,Saudi Arabia,31.321396250000003,2019
Business processes and support services,Business processes and support services,SAU,Saudi Arabia,43.905,2020
Digital security,Digital security,SAU,Saudi Arabia,3,2020
Financial and insurance services,Financial and insurance services,SAU,Saudi Arabia,7.047798333333333,2020
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,SAU,Saudi Arabia,123.375,2020
IT infrastructure and hosting,IT infrastructure and hosting,SAU,Saudi Arabia,45.675,2020
Logistics, wholesale and retail,Logistics, wholesale and retail,SAU,Saudi Arabia,57.50439433333332,2020
Media, social platforms and marketing,Media, social platforms and marketing,SAU,Saudi Arabia,0.18,2020
Other,Other,SAU,Saudi Arabia,22.983153,2020
Robots, sensors and IT hardware,Robots, sensors and IT hardware,SAU,Saudi Arabia,60,2020
Mobility and autonomous vehicles,Mobility and autonomous vehicles,SAU,Saudi Arabia,87.74999399999999,2021
Robots, sensors and IT hardware,Robots, sensors and IT hardware,SAU,Saudi Arabia,7.7283425,2021
Other,Other,SAU,Saudi Arabia,74.496165,2021
Media, social platforms and marketing,Media, social platforms and marketing,SAU,Saudi Arabia,134.5,2021
Logistics, wholesale and retail,Logistics, wholesale and retail,SAU,Saudi Arabia,4.288333333333333,2021
IT infrastructure and hosting,IT infrastructure and hosting,SAU,Saudi Arabia,180.19246316666667,2021
Financial and insurance services,Financial and insurance services,SAU,Saudi Arabia,11.2,2021
Digital security,Digital security,SAU,Saudi Arabia,10.85,2021
Business processes and support services,Business processes and support services,SAU,Saudi Arabia,66.87524366666668,2021
Financial and insurance services,Financial and insurance services,SAU,Saudi Arabia,9.778083,2022
Digital security,Digital security,SAU,Saudi Arabia,0,2022
Business processes and support services,Business processes and support services,SAU,Saudi Arabia,53.1383735,2022
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,SAU,Saudi Arabia,19.5,2022
IT infrastructure and hosting,IT infrastructure and hosting,SAU,Saudi Arabia,331.645458,2022
Logistics, wholesale and retail,Logistics, wholesale and retail,SAU,Saudi Arabia,45.93311083333333,2022
Media, social platforms and marketing,Media, social platforms and marketing,SAU,Saudi Arabia,555.6949999999999,2022
Mobility and autonomous vehicles,Mobility and autonomous vehicles,SAU,Saudi Arabia,15.541578,2022
Other,Other,SAU,Saudi Arabia,201.32344,2022
Robots, sensors and IT hardware,Robots, sensors and IT hardware,SAU,Saudi Arabia,20.683333333333334,2022
Logistics, wholesale and retail,Logistics, wholesale and retail,SAU,Saudi Arabia,6.396399166666667,2023
Digital security,Digital security,SAU,Saudi Arabia,5.5991905,2023
Financial and insurance services,Financial and insurance services,SAU,Saudi Arabia,14.326399166666667,2023
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,SAU,Saudi Arabia,5.25,2023
IT infrastructure and hosting,IT infrastructure and hosting,SAU,Saudi Arabia,550.8327885,2023
Business processes and support services,Business processes and support services,SAU,Saudi Arabia,6.3,2023
Media, social platforms and marketing,Media, social platforms and marketing,SAU,Saudi Arabia,0.25,2023
Mobility and autonomous vehicles,Mobility and autonomous vehicles,SAU,Saudi Arabia,300,2023
Other,Other,SAU,Saudi Arabia,230.2035025,2023
Robots, sensors and IT hardware,Robots, sensors and IT hardware,SAU,Saudi Arabia,190.67366719999998,2023
Logistics, wholesale and retail,Logistics, wholesale and retail,SAU,Saudi Arabia,10.9992655,2024
Digital security,Digital security,SAU,Saudi Arabia,44.12852149999999,2024
Financial and insurance services,Financial and insurance services,SAU,Saudi Arabia,28.0955355,2024
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,SAU,Saudi Arabia,18.249028000000003,2024
IT infrastructure and hosting,IT infrastructure and hosting,SAU,Saudi Arabia,7366.433561899999,2024
Business processes and support services,Business processes and support services,SAU,Saudi Arabia,118.220317,2024
Media, social platforms and marketing,Media, social platforms and marketing,SAU,Saudi Arabia,403.1998375,2024
Other,Other,SAU,Saudi Arabia,116.49999999999999,2024
Robots, sensors and IT hardware,Robots, sensors and IT hardware,SAU,Saudi Arabia,52.768927500000004,2024
Business processes and support services,Business processes and support services,SAU,Saudi Arabia,37.36501,2025
Digital security,Digital security,SAU,Saudi Arabia,102.53329500000001,2025
Financial and insurance services,Financial and insurance services,SAU,Saudi Arabia,43.671897,2025
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,SAU,Saudi Arabia,192.72497449999997,2025
IT infrastructure and hosting,IT infrastructure and hosting,SAU,Saudi Arabia,885.8287172500001,2025
Logistics, wholesale and retail,Logistics, wholesale and retail,SAU,Saudi Arabia,17.097323,2025
Media, social platforms and marketing,Media, social platforms and marketing,SAU,Saudi Arabia,43.67473475,2025
Mobility and autonomous vehicles,Mobility and autonomous vehicles,SAU,Saudi Arabia,0,2025
Other,Other,SAU,Saudi Arabia,4710.5,2025
Robots, sensors and IT hardware,Robots, sensors and IT hardware,SAU,Saudi Arabia,313.698774,2025
