contains_ai,Country/territory,Country/territory_label,impact_level,l0_concept,pub_type,publications,year
AI related,ALL,-- All countries --,All works,Materials science,All publication types,58,2010
AI related,ALL,-- All countries --,All works,Materials science,All publication types,63,2011
AI related,ALL,-- All countries --,All works,Materials science,All publication types,40,2012
AI related,ALL,-- All countries --,All works,Materials science,All publication types,52,2013
AI related,ALL,-- All countries --,All works,Materials science,All publication types,52,2014
AI related,ALL,-- All countries --,All works,Materials science,All publication types,47,2015
AI related,ALL,-- All countries --,All works,Materials science,All publication types,49,2016
AI related,ALL,-- All countries --,All works,Materials science,All publication types,62,2017
AI related,ALL,-- All countries --,All works,Materials science,All publication types,105,2018
AI related,ALL,-- All countries --,All works,Materials science,All publication types,141,2019
AI related,ALL,-- All countries --,All works,Materials science,All publication types,201,2020
AI related,ALL,-- All countries --,All works,Materials science,All publication types,242,2021
AI related,ALL,-- All countries --,All works,Materials science,All publication types,303,2022
AI related,ALL,-- All countries --,All works,Materials science,All publication types,395,2023
AI related,ALL,-- All countries --,All works,Materials science,All publication types,512,2024
AI related,ALL,-- All countries --,All works,Materials science,All publication types,361,2025
AI related,ALL,-- All countries --,All works,Environmental science,All publication types,20,2000
AI related,ALL,-- All countries --,All works,Environmental science,All publication types,25,2001
AI related,ALL,-- All countries --,All works,Environmental science,All publication types,26,2002
AI related,ALL,-- All countries --,All works,Environmental science,All publication types,36,2003
AI related,ALL,-- All countries --,All works,Environmental science,All publication types,42,2004
AI related,ALL,-- All countries --,All works,Environmental science,All publication types,47,2005
AI related,ALL,-- All countries --,All works,Environmental science,All publication types,51,2006
AI related,ALL,-- All countries --,All works,Environmental science,All publication types,73,2007
AI related,ALL,-- All countries --,All works,Environmental science,All publication types,94,2008
AI related,ALL,-- All countries --,All works,Environmental science,All publication types,92,2009
AI related,ALL,-- All countries --,All works,Environmental science,All publication types,102,2010
AI related,ALL,-- All countries --,All works,Environmental science,All publication types,113,2011
AI related,ALL,-- All countries --,All works,Environmental science,All publication types,121,2012
AI related,ALL,-- All countries --,All works,Environmental science,All publication types,100,2013
AI related,ALL,-- All countries --,All works,Environmental science,All publication types,122,2014
AI related,ALL,-- All countries --,All works,Environmental science,All publication types,115,2015
AI related,ALL,-- All countries --,All works,Environmental science,All publication types,130,2016
AI related,ALL,-- All countries --,All works,Environmental science,All publication types,140,2017
AI related,ALL,-- All countries --,All works,Environmental science,All publication types,157,2018
AI related,ALL,-- All countries --,All works,Environmental science,All publication types,170,2019
AI related,ALL,-- All countries --,All works,Environmental science,All publication types,203,2020
AI related,ALL,-- All countries --,All works,Environmental science,All publication types,223,2021
AI related,ALL,-- All countries --,All works,Environmental science,All publication types,224,2022
AI related,ALL,-- All countries --,All works,Environmental science,All publication types,239,2023
AI related,ALL,-- All countries --,All works,Environmental science,All publication types,204,2024
AI related,ALL,-- All countries --,All works,Environmental science,All publication types,80,2025
